Sort,SampleLayer_ID,Soil_Series_Type,Surface_Subsurface,Layer_Designation,UpperDepth_cm,LowerDepth_cm,Total_HorizonDepth_cm,HR_Depth,Horizon,Horizon_Simple,Soil_Series,A_Horizon,A_Thickness,ParentMaterials,AnthropogenicMaterials_YN,Anthro_Transported_Material_YN,Texture,Texture_Rubble_Detail,Percent_Sand,Percent_Sand_scale,Percent_Silt,Percent_Silt_scale,Percent_Clay,Percent_Clay_scale,F_Sand_Percent,VF_Sand_Percent,Percent_Rock_Fragment,Rock_Fragment_Type,Organic_Content,Soil_Core_Notes,Redox_Present_YN,Redox_Color,Redox_Amount,Redox_Size,Redox_Contrast,BulkDensity_gcm3,BulkDensity_scale,Tenth_bar_H2O,Third_bar_H2O,Third_bar_scale,Fifteen_bar_H2O,Fifteen_bar_scale,Ksat_cmhr,Unsaturated_K2cm_cmhr,Borehole_Ksat_cmhr,Texture_mod,ksat_texture,theta_r_texture,theta_s_texture,alpha_texture,n_texture,Texture_Test,Horizon_Simple.1,Soil_Series.1,A_Horizon.1,Grade,Type,Top_Type,Comments,SampleSite_ID,SamplePoint_ID,Latitude,Longitude,hwsd_bd
1,CLS1CLP1L1,Urban Observed,Surface,Surface,0,33,33,NA,^Au,A,Elnora,A1,33,Anthropogenic over Residual,No,Yes,sicl,silty clay loam,9.51,0.096450304,58.03,0.595790554,32.45,0.344114528,NA,NA,0,"wood, gravel",NA,,No,,,,,1.42,NA,NA,NA,NA,NA,NA,0.17,0.17,NA,siltClayLoam,0.295,0.0901,0.482,0.0084,1.5202,99.99,A,Elnora,A1,weak,fine granular structure,,,CLS1,CLP1,41.5493,-81.5658,1.42
2,CLS1CLP1L2,Urban Observed,Subsurface,HR 1,33,70,37,33,^Cu,C,Elnora,,NA,,No,Yes,sl,sandy loam,64.85,0.657707911,27.03,0.2775154,8.12,0.086108165,NA,NA,40,"wood, gravel",NA,,Yes,N 7/0; 75YR 5/6,,,,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,sandloam,2.755,0.0387,0.387,0.0267,1.4484,100,C,Elnora,,NA,single grain,,,CLS1,CLP1,41.5493,-81.5658,1.42
3,CLS1CLP1L3,Urban Observed,Subsurface,,70,170,100,NA,2Cr,C,Elnora,,NA,,No,No,sil,"**paralithic shale, changes texture to silt loam",NA,NA,NA,NA,NA,NA,NA,NA,0,,NA,,No,,,,,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,siltLoam,1.785,0.0645,0.4387,0.0051,1.6626,0,C,Elnora,,NA,single grain,,,CLS1,CLP1,41.5493,-81.5658,1.42
4,CLS1CLP2L1,Urban Observed,Surface,Surface,0,23,23,NA,^Au,A,Elnora,A1,23,Anthropogenic over Residual,No,Yes,cl,clay loam,25.26,0.256186613,46.33,0.475667351,28.41,0.301272534,NA,NA,40,"brick, slag",NA,,No,,,,,1.42,NA,NA,NA,NA,NA,NA,1.22,1.22,NA,clayLoam,1.524,0.0792,0.4418,0.0158,1.4145,100,A,Elnora,A1,weak,fine granular structure,,,CLS1,CLP2,41.5493,-81.5658,1.42
5,CLS1CLP2L2,Urban Observed,Subsurface,,23,52,29,NA,^C,C,Elnora,,NA,,No,Yes,sil,silt loam,NA,NA,NA,NA,NA,NA,NA,NA,10,channers,NA,,Yes,N 7/0; 75YR 5/6,,,,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,siltLoam,1.785,0.0645,0.4387,0.0051,1.6626,0,C,Elnora,,NA,single grain,,,CLS1,CLP2,41.5493,-81.5658,1.42
6,CLS1CLP2L3,Urban Observed,Subsurface,HR 1,52,135,83,52,^Cgu,C,Elnora,,NA,,No,Yes,sicl,silty clay loam,1.29,0.013083164,59.67,0.612628337,39.04,0.413997879,NA,NA,10,"textiles, channers",NA,,No,,,,,1.42,NA,NA,NA,NA,NA,NA,0.01,NA,0.01,siltClayLoam,0.295,0.0901,0.482,0.0084,1.5202,100,C,Elnora,,NA,single grain,,,CLS1,CLP2,41.5493,-81.5658,1.42
7,CLS1CLP2L4,Urban Observed,Subsurface,,135,148,13,NA,2C1,C,Elnora,,NA,,No,No,ls,loamy sand,NA,NA,NA,NA,NA,NA,NA,NA,10,channers,NA,,No,,,,,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,loamSand,8.689,0.0485,0.3904,0.0347,1.7466,0,C,Elnora,,NA,single grain,,,CLS1,CLP2,41.5493,-81.5658,1.42
8,CLS1CLP2L5,Urban Observed,Subsurface,,148,232,84,NA,2C2/Cr,C,Elnora,,NA,,No,No,sil,silt loam interlayered with paralithic shale,NA,NA,NA,NA,NA,NA,NA,NA,0,,NA,,No,,,,,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,siltLoam,1.785,0.0645,0.4387,0.0051,1.6626,0,C,Elnora,,NA,single grain,,,CLS1,CLP2,41.5493,-81.5658,1.42
10,CLS2CLP3L1,Urban Observed,Surface,Surface,0,8,8,NA,^A,A,Hornell,A1,8,Anthropogenic over Residual,No,Yes,l,loam,44.89,0.455273834,35.18,0.361190965,19.94,0.21145281,NA,NA,10,,NA,,No,,,,,1.42,NA,NA,NA,NA,NA,NA,1.58,1.58,NA,loam,1.992,0.069,0.3991,0.0111,1.4737,100.01,A,Hornell,A1,weak,medium granular structure,,,CLS2,CLP3,41.5506,-81.5813,1.42
11,CLS2CLP3L2,Urban Observed,Subsurface,,8,30,22,NA,^C1u,C,Hornell,,NA,,No,Yes,sl,sandy loam,NA,NA,NA,NA,NA,NA,NA,NA,80,"stones, brick",NA,,No,,,,,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,sandloam,2.755,0.0387,0.387,0.0267,1.4484,0,C,Hornell,,moderate,thin and medium plate-like structure,,,CLS2,CLP3,41.5506,-81.5813,1.42
12,CLS2CLP3L3,Urban Observed,Subsurface,,30,76,46,NA,^C2u,C,Hornell,,NA,,No,Yes,sil,silt loam,NA,NA,NA,NA,NA,NA,NA,NA,25,"concrete, cinders",NA,,No,,,,,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,siltLoam,1.785,0.0645,0.4387,0.0051,1.6626,0,C,Hornell,,moderate,thin and medium plate-like structure,,,CLS2,CLP3,41.5506,-81.5813,1.42
13,CLS2CLP3L4,Urban Observed,Subsurface,,76,140,64,NA,^C3u,C,Hornell,,NA,,No,Yes,sicl,silty clay loam,NA,NA,NA,NA,NA,NA,NA,NA,25,"gravels, slag",NA,,Yes,10YR 7/1; 10YR 5/8,,,,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,siltClayLoam,0.295,0.0901,0.482,0.0084,1.5202,0,C,Hornell,,moderate,thin and medium plate-like structure,,,CLS2,CLP3,41.5506,-81.5813,1.42
14,CLS2CLP3L5,Urban Observed,Subsurface,HR 1,140,175,35,140,^C4u,C,Hornell,,NA,,No,Yes,cl,clay loam,24.42,0.247667343,46.59,0.478336756,28.99,0.307423118,NA,NA,15,"ceramic, channers",NA,,Yes,10YR 5/8; 25Y 7/1,,,,1.42,NA,NA,NA,NA,NA,NA,0.02,NA,0.02,clayLoam,1.524,0.0792,0.4418,0.0158,1.4145,100,C,Hornell,,moderate,thin and medium plate-like structure,,,CLS2,CLP3,41.5506,-81.5813,1.42
15,CLS2CLP3L6,Urban Observed,Subsurface,,175,194,19,NA,2Cr,C,Hornell,,NA,,No,No,sil,"**paralithic shale, changes texture to silt loam",NA,NA,NA,NA,NA,NA,NA,NA,0,,NA,,No,,,,,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,siltLoam,1.785,0.0645,0.4387,0.0051,1.6626,0,C,Hornell,,moderate,thin and medium plate-like structure,,,CLS2,CLP3,41.5506,-81.5813,1.42
16,CLS2CLP4L1,Urban Observed,Surface,Surface,0,23,23,NA,^Au,A,Hornell,A1,23,Anthropogenic over Residual,No,Yes,sl,sandy loam,54.31,0.550811359,31.21,0.320431211,14.48,0.153552492,NA,NA,30,slag,NA,,No,,,,,1.42,NA,NA,NA,NA,NA,NA,3.15,3.15,NA,sandloam,2.755,0.0387,0.387,0.0267,1.4484,100,A,Hornell,A1,weak,medium granular structure,,,CLS2,CLP4,41.5506,-81.5813,1.42
17,CLS2CLP4L2,Urban Observed,Subsurface,,23,52,29,NA,^Cu,C,Hornell,,NA,,No,Yes,sicl,silty clay loam,NA,NA,NA,NA,NA,NA,NA,NA,25,"charcoal, gravel",NA,,Yes,10YR 5/8; 25Y 7/1,,,,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,siltClayLoam,0.295,0.0901,0.482,0.0084,1.5202,0,C,Hornell,,moderate,thin and medium plate-like structure,,,CLS2,CLP4,41.5506,-81.5813,1.42
18,CLS2CLP4L3,Urban Observed,Subsurface,HR 1,52,178,126,52,2C,C,Hornell,,NA,,No,No,sil,silt loam,22.65,0.229716024,51.53,0.529055441,25.83,0.273913043,NA,NA,0,,NA,,No,,,,,1.42,NA,NA,NA,NA,NA,NA,0.05,NA,0.05,siltLoam,1.785,0.0645,0.4387,0.0051,1.6626,100.01,C,Hornell,,moderate,thin and medium plate-like structure,,,CLS2,CLP4,41.5506,-81.5813,1.42
19,CLS2CLP4L4,Urban Observed,Subsurface,,178,205,27,NA,2Cr,C,Hornell,,NA,,No,No,sil,"**paralithic shale, changes texture to silt loam",NA,NA,NA,NA,NA,NA,NA,NA,0,,NA,,No,,,,,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,siltLoam,1.785,0.0645,0.4387,0.0051,1.6626,0,C,Hornell,,moderate,thin and medium plate-like structure,,,CLS2,CLP4,41.5506,-81.5813,1.42
21,CLS3CLP5L1,Urban Observed,Surface,Surface,0,43,43,NA,^A,A,Hornell,A1,43,Anthropogenic over Glacial Till,No,Yes,l,loam,43.25,0.438640974,40.59,0.416735113,16.16,0.171367975,NA,NA,20,gravels,NA,,No,,,,,1.42,NA,NA,NA,NA,NA,NA,2.03,2.03,NA,loam,1.992,0.069,0.3991,0.0111,1.4737,100,A,Hornell,A1,weak,medium granular structure,,,CLS3,CLP5,41.5492,-81.5798,1.42
